Nom,URL,Sponsorisé,Prix (€),Étoiles,Nombre d'Avis
ASUS ROG Strix AMD Radeon RX 560 4Go 90YV0HV0-M0NA00,https://www.amazon.fr/ASUS-ROG-Strix-Radeon-90YV0HV0-M0NA00/dp/B0B23GVMG3,0,Non disponible,"4,3 sur 5 étoiles","4,3 sur 5 étoiles 69"
"SAPLOS Radeon RX 580 Carte Graphique, 8 Go GDDR5, 256-bit, HDMI DVI DisplayPort, PCI Express x16, Nécessite Une Alimentation à 6 Broches, Blanc",https://www.amazon.fr/SAPLOS-Graphique-DisplayPort-N%C3%A9cessite-Alimentation/dp/B0DSVL4Z91,0,"129,16","1,0 sur 5 étoiles","1,0 sur 5 étoiles 1"
"ASRock Radeon RX 7600 Phantom Gaming 8GO, 8192 MB GDDR6",https://www.amazon.fr/ASROCK-Radeon-Phantom-Gaming-8GO/dp/B0C626YZW5,0,"299,94","4,0 sur 5 étoiles","4,0 sur 5 étoiles 17"
"Gigabyte GeForce RTX 5070 Gaming OC 12G Carte Graphique - 12 Go GDDR7, 192 Bits, PCI-E 5.0, 2625 MHz Core Clock, 3 x DP 2.1a, 1 x HDMI 2.1b, NVIDIA DLSS 4, GV-N5070GAMING OC-12GD",https://www.amazon.fr/Gigabyte-GeForce-Gaming-Carte-Graphique/dp/B0DTGNTQ3C,0,"691,62","1,0 sur 5 étoiles","1,0 sur 5 étoiles 1"
Gigabyte AORUS Xtreme GV-N307TVISION OC-8GD Carte Graphique NVIDIA GeForce RTX 3070 Ti 8 Go GDDR6X Gris,https://www.amazon.fr/Gigabyte-GV-N307TVISION-OC-8GD-Graphique-GeForce/dp/B095X7XXQK,0,"708,71","4,3 sur 5 étoiles","4,3 sur 5 étoiles 163"
N2080AORUS-8GC,https://www.amazon.fr/Gigabyte-GV-N2080AORUS-8GC-Graphique-GeForce-Express/dp/B07J9RHN41,0,Non disponible,"4,0 sur 5 étoiles","4,0 sur 5 étoiles 110"
"Cooler Master Kit Support GPU Vertical V3, pour Boîtiers PC E-ATX/ATX/mATX & Appareils PCI-E 4.0, Support Modulaire Ajustable pour Carte Graphique, Acier SGCC Épais, Riser Cable 165mm Inclus - Noir",https://www.amazon.fr/Cooler-Master-Vertical-Graphics-%C3%A9l%C3%A9vateur/dp/B0B7NY5TSY,0,"58,29","4,3 sur 5 étoiles","4,3 sur 5 étoiles 1 242"
GIGABYTE gddr4 Graphics Card PCIe NVD GV-N1030D4-2GL (GV-N1030D4-2GL),https://www.amazon.fr/Gigabyte-Graphics-Card-PCIe-GV-N1030D4-2GL/dp/B07CQ6Q52H,0,"89,95","4,5 sur 5 étoiles","4,5 sur 5 étoiles 208"
"MSI Gaming Carte Graphique GeForce RTX 4060, 8 Go GDRR6, 128-bit, HDMI/DP, NVLink avec Ventilateur Torx 4.0, Carte Graphique avec Architecture Ada Lovelace (RTX 4060 Ventus 2X Black 8G OC)",https://www.amazon.fr/MSI-RTX-4060-Ventilateur-2X/dp/B0C8BPW1SP,0,Non disponible,"4,7 sur 5 étoiles","4,7 sur 5 étoiles 904"
"ASUS DUAL NVIDIA GeForce RTX 4060 OC Edition – Carte graphique (8GB GDDR6X, PCIe 4.0, DLSS 3, HDMI 2.1a, DisplayPort 1.4a, 2.5 slot, Ventilateurs axiaux à double roulement à billes, technologie 0dB)",https://www.amazon.fr/ASUS-DUAL-NVIDIA-GeForce-4060/dp/B0C8JT7K1M,0,Non disponible,"4,6 sur 5 étoiles","4,6 sur 5 étoiles 695"
"PNY Quadro P400 Carte graphique professionnelle DVI 2GB GDDR5 PCI Express 3.0 x16, simple slot, 3x Mini-Port display, 5K Support, Ventilateur actif ultra-silencieux",https://www.amazon.fr/PNY-graphique-professionnelle-Ventilateur-ultra-silencieux/dp/B084GZQJXZ,0,"175,00","4,2 sur 5 étoiles","4,2 sur 5 étoiles 56"
"MSI MAG Z690 TORPEDO Carte Mère Gaming, ATX - Pour Processeurs Intel Core 12è Gén, LGA 1700 - 16 Duet Rail VRM 70A, DDR5 Memory Boost 6400+MHz/OC, 1 x PCIe 5.0 x16, 3 x M.2 Gen4, 2.5G LAN",https://www.amazon.fr/MSI-Z690-TORPEDO-Carte-Gaming/dp/B09HK9Q3KD,0,"234,99","4,4 sur 5 étoiles","4,4 sur 5 étoiles 2 317"
"XFX Speedster QICK319 Radeon RX 7700 XT Black Carte Graphique de Jeu avec 12 Go GDDR6 HDMI 3xDP, AMD RDNA™ 3 (RX-77TQICKB9)",https://www.amazon.fr/XFX-Speedster-QICK319-Graphique-RX-77TQICKB9/dp/B0CGMBYMY6,0,Non disponible,"4,6 sur 5 étoiles","4,6 sur 5 étoiles 134"
"Gigabyte GeForce RTX 4060 Gaming OC 8G Carte Graphique, 3 Ventilateurs WINDFORCE, 8 Go 128 Bits GDDR6, GV-N4060GAMING OC-8GD Carte vidéo",https://www.amazon.fr/Graphique-Ventilateurs-WINDFORCE-GV-N4060GAMING-OC-8GD/dp/B0C8KQRH32,0,Non disponible,"4,7 sur 5 étoiles","4,7 sur 5 étoiles 504"
"SAPLOS Low Profile GT 210 Carte Graphique pour PC, Carte vidéo 1 Go, DDR3 64 Bits, HDMI DVI VGA",https://www.amazon.fr/SAPLOS-Profile-GT210-Carte-Graphique/dp/B0C7M75HRX,0,"41,66","4,4 sur 5 étoiles","4,4 sur 5 étoiles 10"
"Zotac GeForce GT 710 2Go GDDR3 1xHDMI, GT 710 Fan Sink",https://www.amazon.fr/Zotac-GT-710-Fan-Sink/dp/B088X1NTB4,0,"56,18","4,1 sur 5 étoiles","4,1 sur 5 étoiles 219"
Sapphire Pulse AMD Radeon™ RX 6500 XT ITX Pure Gaming OC 4GB GDDR6 HDMI/DP,https://www.amazon.fr/Sapphire-Pulse-RadeonTM-Gaming-GDDR6/dp/B0CDTV5PWS,0,"145,33","4,4 sur 5 étoiles","4,4 sur 5 étoiles 6"
MSI RTX 3050 Aero ITX 8G OC Carte Graphique V809-4041R Noir,https://www.amazon.fr/MSI-3050-Carte-Graphique-V809-4041R/dp/B09R1PXJTZ,0,"338,09","4,5 sur 5 étoiles","4,5 sur 5 étoiles 469"
galax KFA2 nVidia GeForce GTX 1660 Super OC 6 Go 192 Bits GDDR6 PCIe Carte Graphique 60SRL7DSY91K Noir,https://www.amazon.fr/nVidia-60SRL7DSY91K-Carte-Graphique-GeForce/dp/B07ZJMRF2K,0,Non disponible,"4,5 sur 5 étoiles","4,5 sur 5 étoiles 298"
"MAXSUN Geforce GTX 1050 Ti 4 Go GDDR5 128 bits Carte graphique pour jeux vidéo GPU Mini ITX Design DisplayPort, HDMI, DVI-D, système de refroidissement à ventilateur unique",https://www.amazon.fr/MAXSUN-GTX-1050Ti-Transformateur-refroidissement/dp/B08SMB4LFC,0,"135,82","4,1 sur 5 étoiles","4,1 sur 5 étoiles 71"
Karta graficzna ASRock Intel Arc A380 Challenger ITX OC 6GB GDDR6 (90-GA3KZZ-00UANF),https://www.amazon.fr/Karta-graficzna-ASRock-Challenger-90-GA3KZZ-00UANF/dp/B0BFD8DSM3,0,Non disponible,"4,3 sur 5 étoiles","4,3 sur 5 étoiles 365"
