Nom,URL,Prix (€),Étoiles,Nombre d'Avis
"Gigabyte Radeon RX 9070 XT Gaming OC 16G Carte Graphique - 16 Go GDDR6, 256 Bits, PCI-E 5.0, 3060 MHz Fréquence du Cœur, 2 x DisplayPort, 2 x HDMI, GV-R9070XTGAMING OC-16GD",https://www.amazon.fr/Gigabyte-Radeon-Gaming-Carte-Graphique/dp/B0DT7B79K9,"749,96",4.1,19
"SAPLOS GTX 750 Ti Carte Graphique 4 Go 128 Bits DDR3, HDMI, VGA, DVI-D, Low Profile Carte Video PC, GPU, PCI Express x16, DirectX 12",https://www.amazon.fr/SAPLOS-Graphique-Profile-Express-DirectX/dp/B0DF7HFPPS,"79,99",4.8,23
Sapphire Nitro+ AMD Radeon™ RX 7800 XT Gaming OC 16GB GDDR6 Dual HDMI/Dual DP,https://www.amazon.fr/Sapphire-Nitro-RadeonTM-Gaming-GDDR6/dp/B0CGLYWWKX,"500,82",4.5,266
"ASUS NVIDIA GeForce GT 730 SL-2GD5-BRK - Carte graphique (2GB GDDR5, PCIe 2.0, Refroidissement silencieux 0 dB, GPU Tweak II avec XSplit Gamecaster, Auto-Extreme, idéal pour HTPC)",https://www.amazon.fr/GT730-SL-2GD5-BRK-Carte-Graphique-Nvidia-Express/dp/B01A9GJ55K,"64,30",4.4,544
"Gigabyte AORUS Radeon RX 9070 XT Elite 16G Carte Graphique - 16 Go GDDR6, 256 Bits, PCI-E 5.0, 3100 MHz Fréquence du Cœur, 2 x DisplayPort, 2 x HDMI, GV-R9070XTAORUS E-16GD",https://www.amazon.fr/Gigabyte-AORUS-Radeon-Elite-Graphique/dp/B0DT7C5ZC7,"808,29",3.3,7
GIGABYTE RTX 4060TI EAGLEOC ICE-8GD,https://www.amazon.fr/GIGABYTE-RTX-4060TI-EAGLEOC-ICE-8GD/dp/B0CVS8K3KJ,"434,37",5.0,5
Sapphire Générique AMD 4GB RX6400XT Pulse Gaming OC 4GB HDMI/DP Sapphire Pulse AMD RADEONOao RX 6400 Gaming,https://www.amazon.fr/G%C3%A9n%C3%A9rique-Sapphire-RX6400XT-Gaming-RADEONOao/dp/B09YHFH2XK,"121,60",4.2,169
Gigabyte GeForce RTX 3050 WINDFORCE OC 6G NVIDIA 6GB GDDR6,https://www.amazon.fr/Gigabyte-GeForce-WINDFORCE-NVIDIA-GDDR6/dp/B0D5J5XS36,"246,36",4.2,54
"SAPLOS Radeon RX 550 Low Profile Carte Graphique, 4 Go GDDR5 128-bit, VGA DVI-D HDMI, PC Video Card, Affichage 4K, DirectX 12",https://www.amazon.fr/SAPLOS-Radeon-RX-550-graphiques/dp/B09H5RTCWD,"83,32",4.4,250
"Asus TUF Gaming Radeon RX 9070 XT OC Edition 16GB – Carte Graphique Gaming (16GB GDDR6, PCIe 5.0, HDMI, DisplayPort 2.1, 3.125 Slot, Ventilateurs axiaux, revêtement Protecteur PCB)",https://www.amazon.fr/Asus-Gaming-Radeon-9070-16GB/dp/B0DSWJL78F,"808,13",4.8,9
PNY Carte Graphique GeForce RTX™ 5080 16GB OC Triple Fan DLSS 4,https://www.amazon.fr/PNY-Carte-Graphique-GeForce-Triple/dp/B0DTJFZ4YS,"1 191,66",4.5,15
ASUS Dual RX 7600 XT O16G,https://www.amazon.fr/ASUS-Dual-RX-7600-O16G/dp/B086ZTKLXQ,"331,44",4.5,75
"Sapphire Nitro+ 11323-01-40G Carte graphique de jeu AMD Radeon RX 7900 XT Vapor-X avec 20 Go GDDR6, AMD RDNA 3",https://www.amazon.fr/Sapphire-11323-01-40G-Radeon-Vapor-X-graphique/dp/B0BR6KLPDW,"945,83",4.0,16
PNY Carte Graphique GeForce RTX™ 5080 16GB ARGB OC Triple Fan DLSS 4,https://www.amazon.fr/PNY-Carte-Graphique-GeForce-Triple/dp/B0DTJDR3V9,"1 259,99",4.1,43
"MSI Radeon RX 6750 XT Gaming X Trio 12G Carte Graphique Gaming GPU MHz Mémoire 12000 Mo, Noir",https://www.amazon.fr/MSI-Radeon-Gaming-Graphique-M%C3%A9moire/dp/B09YHTMKL2,"544,16",4.5,343
"ASUS GeForce RTX 4060 Dual Evo 8G OC Carte Graphique de Jeu – Horloge Boost 2535 MHz, GDDR6X, PCIe Gen 4, DLSS 3, 3X DP v 1.4a, HDMI 2.1a (Prend en Charge 4K et 8K HDR)",https://www.amazon.fr/ASUS-GeForce-4060-Carte-Graphique/dp/B0CVQLKYSK,"353,11",4.6,93
XFX Carte Graphique de Jeu Speedster SWFT210 Radeon RX 7800XT Core (RX-78TSWFTFP),https://www.amazon.fr/XFX-Graphique-Speedster-SWFT210-RX-78TSWFTFP/dp/B0D9QKFT9T,"623,27",4.6,28
